Message                                 	       Calls	  Total Time	    Avg Time	    Min Time	    Max Time	 Internal Total Time	   Internal Avg Time

CApplication::CApplication              	           1	    0.000223	    0.000223	    0.000223	    0.000223	            0.000223	            0.000223
CApplication::Create                    	           1	    0.331179	    0.331179	    0.331179	    0.331179	            0.328719	            0.328719
CApplication::OnResize                  	           1	    0.002473	    0.002473	    0.002473	    0.002473	            0.001372	            0.001372
CApplication::Render                    	       13443	    2.039221	    0.000152	    0.000087	    0.009397	            0.880600	            0.000066
CApplication::Run                       	       13443	    6.041855	    0.000449	    0.000160	    0.016321	            1.099603	            0.000082
CApplication::SwapBuffers               	       13453	    0.403758	    0.000030	    0.000020	    0.001866	            0.403758	            0.000030
CApplication::Update                    	       13443	    2.903031	    0.000216	    0.000009	    0.015036	            0.284934	            0.000021
CApplication::~CApplication             	           1	    0.186047	    0.186047	    0.186047	    0.186047	            0.186012	            0.186012
CGameStateGame::CGameStateGame          	           1	    0.000003	    0.000003	    0.000003	    0.000003	            0.000003	            0.000003
CGameStateGame::DrawImGui               	        2882	    0.011438	    0.000004	    0.000003	    0.000032	            0.011438	            0.000004
CGameStateGame::InputEvent              	         360	    0.001266	    0.000004	    0.000003	    0.000018	            0.001266	            0.000004
CGameStateGame::OnCreate                	           1	    0.258956	    0.258956	    0.258956	    0.258956	            0.258956	            0.258956
CGameStateGame::OnDestroy               	           1	    0.231974	    0.231974	    0.231974	    0.231974	            0.231974	            0.231974
CGameStateGame::OnEnter                 	           1	    0.000109	    0.000109	    0.000109	    0.000109	            0.000105	            0.000105
CGameStateGame::OnExit                  	           1	    0.000010	    0.000010	    0.000010	    0.000010	            0.000010	            0.000010
CGameStateGame::OnResize                	           2	    0.000007	    0.000003	    0.000003	    0.000003	            0.000007	            0.000003
CGameStateGame::Render                  	         456	    0.160159	    0.000351	    0.000212	    0.002347	            0.160159	            0.000351
CGameStateGame::Update                  	         456	    2.589789	    0.005679	    0.000807	    0.014175	            2.589789	            0.005679
CGameStateGame::~CGameStateGame         	           1	    0.000005	    0.000005	    0.000005	    0.000005	            0.000005	            0.000005
CGameStateMenu::CGameStateMenu          	           1	    0.000003	    0.000003	    0.000003	    0.000003	            0.000003	            0.000003
CGameStateMenu::DrawImGui               	       10559	    0.038357	    0.000004	    0.000003	    0.000054	            0.038357	            0.000004
CGameStateMenu::InputEvent              	         173	    0.000667	    0.000004	    0.000002	    0.000007	            0.000667	            0.000004
CGameStateMenu::OnCreate                	           2	    0.000417	    0.000208	    0.000011	    0.000406	            0.000417	            0.000208
CGameStateMenu::OnDestroy               	           2	    0.000559	    0.000280	    0.000221	    0.000339	            0.000559	            0.000280
CGameStateMenu::OnEnter                 	           2	    0.000332	    0.000166	    0.000039	    0.000293	            0.000324	            0.000162
CGameStateMenu::OnExit                  	           2	    0.000026	    0.000013	    0.000013	    0.000014	            0.000026	            0.000013
CGameStateMenu::OnResize                	           3	    0.000016	    0.000005	    0.000004	    0.000008	            0.000016	            0.000005
CGameStateMenu::Render                  	        9309	    0.548429	    0.000059	    0.000054	    0.003374	            0.548429	            0.000059
CGameStateMenu::Update                  	        9309	    0.025872	    0.000003	    0.000002	    0.000020	            0.025872	            0.000003
CGameStateMenu::~CGameStateMenu         	           1	    0.000005	    0.000005	    0.000005	    0.000005	            0.000005	            0.000005
CGameStateQuit::CGameStateQuit          	           1	    0.000003	    0.000003	    0.000003	    0.000003	            0.000003	            0.000003
CGameStateQuit::DrawImGui               	           1	    0.000005	    0.000005	    0.000005	    0.000005	            0.000005	            0.000005
CGameStateQuit::OnCreate                	           1	    0.000013	    0.000013	    0.000013	    0.000013	            0.000013	            0.000013
CGameStateQuit::OnDestroy               	           1	    0.000005	    0.000005	    0.000005	    0.000005	            0.000005	            0.000005
CGameStateQuit::OnEnter                 	           1	    0.000021	    0.000021	    0.000021	    0.000021	            0.000018	            0.000018
CGameStateQuit::OnExit                  	           1	    0.000010	    0.000010	    0.000010	    0.000010	            0.000010	            0.000010
CGameStateQuit::OnResize                	           2	    0.000007	    0.000003	    0.000003	    0.000004	            0.000007	            0.000003
CGameStateQuit::Render                  	           1	    0.000005	    0.000005	    0.000005	    0.000005	            0.000005	            0.000005
CGameStateQuit::Update                  	           1	    0.000005	    0.000005	    0.000005	    0.000005	            0.000005	            0.000005
CGameStateQuit::~CGameStateQuit         	           1	    0.000005	    0.000005	    0.000005	    0.000005	            0.000005	            0.000005
CGameStateSplash::CGameStateSplash      	           1	    0.000004	    0.000004	    0.000004	    0.000004	            0.000004	            0.000004
CGameStateSplash::OnResize              	           1	    0.000004	    0.000004	    0.000004	    0.000004	            0.000004	            0.000004
CGameStateSplash::~CGameStateSplash     	           1	    0.000005	    0.000005	    0.000005	    0.000005	            0.000005	            0.000005
